model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,peer_group,rank_min,rank_max,ai_def,fe_spec,xvars
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,0.0017007334544638902,0.010196719388024886,0.1667922191191459,0.8675335411695855,8649,2415,3566,-0.00027446453498791755,true_top5,1,5,prior_cac,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.009036497826057473,0.0032458896819251206,-2.7839818082473995,0.005369604573261633,8649,2415,3566,-0.00027446453498791755,true_top5,1,5,prior_ai_patent_grant,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.001708567036260923,0.0009544133566376845,-1.7901751105831716,0.07342576499349862,8649,2415,3566,-0.00027446453498791755,true_top5,1,5,prior_broad_ai_hiring_365_ge1,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.00030381085909666263,0.0014209883826252062,-0.21380249325852121,0.8307010805728674,8649,2415,3566,-0.00027446453498791755,true_top5,1,5,prior_broad_ai_hiring_365_ge3,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.007829164470076097,0.0030207157449438984,-2.5918242996483944,0.009546851497509667,8649,2415,3566,-0.00027446453498791755,true_top5,1,5,ext_no_hiring,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.002108976225304655,0.0009376317182079855,-2.2492586207891505,0.02449604681600248,8649,2415,3566,-0.00027446453498791755,true_top5,1,5,ext_any,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.0014989373791036132,0.0013589801487033728,-1.1029869571926978,0.2700328292533165,8649,2415,3566,-0.00027446453498791755,true_top5,1,5,ext_strict,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.002264635034008224,0.0008899807696254794,-2.5445887274184864,0.010940651248871891,8649,2415,3566,-0.00027446453498791755,true_top5,1,5,ext_plus_history,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,0.007857563367753439,0.007507597654722088,1.0466148732426053,0.2952772393728993,17214,2432,4507,-0.0006830927905607451,true_top10,1,10,prior_cac,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.005210532570487552,0.0018921423512331236,-2.75377408422353,0.005891241857875595,17214,2432,4507,-0.0006830927905607451,true_top10,1,10,prior_ai_patent_grant,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.0013623313898972304,0.0005937386421746161,-2.2944967585528553,0.02176198103988458,17214,2432,4507,-0.0006830927905607451,true_top10,1,10,prior_broad_ai_hiring_365_ge1,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.0005511986692291475,0.0008365928324449616,-0.6588613335572776,0.509984817518476,17214,2432,4507,-0.0006830927905607451,true_top10,1,10,prior_broad_ai_hiring_365_ge3,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.003586252223544259,0.0020409725152214044,-1.7571291121258548,0.07889580459169898,17214,2432,4507,-0.0006830927905607451,true_top10,1,10,ext_no_hiring,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.0015733275322033957,0.000612530970745949,-2.568568133440461,0.010211963508126587,17214,2432,4507,-0.0006830927905607451,true_top10,1,10,ext_any,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.0010105510555247013,0.0008362395621730793,-1.2084468389640053,0.22687543245178943,17214,2432,4507,-0.0006830927905607451,true_top10,1,10,ext_strict,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.0015293963197250497,0.0005976737407595298,-2.5589150324414076,0.010499940135444641,17214,2432,4507,-0.0006830927905607451,true_top10,1,10,ext_plus_history,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.006669100128902109,0.002690337301275538,-2.478908546426564,0.013178509117657056,7218,2341,1679,-0.0015903908832622957,low_similarity_top5,1,5,prior_cac,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.011047785307397742,0.003356295277186958,-3.29166071367157,0.0009959769070462254,7218,2341,1679,-0.0015903908832622957,low_similarity_top5,1,5,prior_ai_patent_grant,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,0.00037553629802017927,0.0010324844417321994,0.3637210236215685,0.7160663425392846,7218,2341,1679,-0.0015903908832622957,low_similarity_top5,1,5,prior_broad_ai_hiring_365_ge1,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,0.00020331586531614721,0.001213443791871017,0.16755276732072868,0.8669351319738121,7218,2341,1679,-0.0015903908832622957,low_similarity_top5,1,5,prior_broad_ai_hiring_365_ge3,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.0096885895008267,0.002643491156915922,-3.665073543173896,0.0002472675183851081,7218,2341,1679,-0.0015903908832622957,low_similarity_top5,1,5,ext_no_hiring,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.0001360927860365189,0.0010040342683977142,-0.13554595726468804,0.8921802308603308,7218,2341,1679,-0.0015903908832622957,low_similarity_top5,1,5,ext_any,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,-0.0011524637993510132,0.0012819754956489174,-0.898974904951403,0.36866602766656786,7218,2341,1679,-0.0015903908832622957,low_similarity_top5,1,5,ext_strict,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
external_aiactive_breakdown,peer_car_0_p1_mm,spec_ai,1.2786622201041458e-05,0.000885405255750762,0.014441547661922668,0.9884777125992885,7218,2341,1679,-0.0015903908832622957,low_similarity_top5,1,5,ext_plus_history,event_id+peer_industry_week,ai|spec_ai|peer_car_pre10_m2_mm|peer_car_pre20_m2_mm
