model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,ai_def,fe,controls,cluster
type_x_ai_only,peer_car_0_p1_mm,own_impl_ai,-0.00010480607665367143,0.0015334557261844945,-0.06834633362023908,0.9455099414361814,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
type_x_ai_only,peer_car_0_p1_mm,supply_chain_ai,-0.00040137730855565923,0.0037613157043206074,-0.10671194340177263,0.9150175072497531,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
type_x_ai_only,peer_car_0_p1_mm,generic_attention_ai,0.007788180202769622,0.0038752679748667133,2.009713974176841,0.044461470093475786,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
type_x_ai_only,peer_car_0_p1_mm,denial_no_current_ai,0.002026118005332798,0.0035339881579246734,0.573323371440676,0.5664257637427788,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
specificity_plus_type_x_ai,peer_car_0_p1_mm,spec_ai,-0.0023936645370563137,0.0009856431992189567,-2.428530465134951,0.015160151384942644,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"AIActive + PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
specificity_plus_type_x_ai,peer_car_0_p1_mm,own_impl_ai,0.0031742731762834644,0.0055901537346696156,0.5678328945762111,0.5701484413996762,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"AIActive + PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
specificity_plus_type_x_ai,peer_car_0_p1_mm,supply_chain_ai,-0.0006690232629777374,0.0038132900953843788,-0.1754451526747272,0.8607298640461007,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"AIActive + PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
specificity_plus_type_x_ai,peer_car_0_p1_mm,generic_attention_ai,0.010811575542261117,0.006663605383022743,1.6224813626878924,0.10470032049797928,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"AIActive + PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
specificity_plus_type_x_ai,peer_car_0_p1_mm,denial_no_current_ai,0.005374425192738846,0.006350018404459768,0.8463637190349339,0.3973498716173971,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"AIActive + PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
type_specific_specificity_x_ai,peer_car_0_p1_mm,own_impl_spec_ai,-0.002193749691749345,0.0012331823605470336,-1.7789337262140275,0.07525062799293925,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"AIActive + PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
type_specific_specificity_x_ai,peer_car_0_p1_mm,supply_chain_spec_ai,0.0003930694563386874,0.0036948499709835206,0.10638306275641754,0.9152784307762765,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"AIActive + PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
type_specific_specificity_x_ai,peer_car_0_p1_mm,generic_attention_spec_ai,0.00030535329526507364,0.0036904384057421195,0.08274174005721398,0.9340568948766073,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"AIActive + PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
type_specific_specificity_x_ai,peer_car_0_p1_mm,denial_no_current_spec_ai,-0.0037924027240252975,0.002332727518857833,-1.6257375511573513,0.10400549813780025,7805,2177,3345,-4.0177962161600595e-05,ext_any,event_id+peer_industry_week,"AIActive + PeerCAR[-10,-2] + PeerCAR[-20,-2]",event_id + peer_code
