model,outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,sample,window,ai_def,fe_spec,xvars,window_label,plot_order,ci_low,ci_high,ai_label
lead_lag_windows,peer_car_pre20_m11_mm,spec_ai,-0.0048161683846041,0.0021406524723493,-2.2498600061495875,0.0244578334219454,8646,2415,3565,0.004326904501703,top5,peer_car_pre20_m11_mm,current_text_history,event_id+peer_industry_week,ai|spec_ai,"[-20,-11]",1,-0.009011847230408728,-0.0006204895387994722,Text-history AIActive
lead_lag_windows,peer_car_pre10_m2_mm,spec_ai,-0.004847385082379,0.0023931397680999,-2.025533630335183,0.0428125987963672,8670,2415,3570,0.0084658931895921,top5,peer_car_pre10_m2_mm,current_text_history,event_id+peer_industry_week,ai|spec_ai,"[-10,-2]",2,-0.009537939027854804,-0.00015683113690319675,Text-history AIActive
lead_lag_windows,peer_car_pre5_m2_mm,spec_ai,-0.001197224375299,0.0017796605048914,-0.6727262711109309,0.50112145092015,8675,2416,3570,0.003860322095986,top5,peer_car_pre5_m2_mm,current_text_history,event_id+peer_industry_week,ai|spec_ai,"[-5,-2]",3,-0.004685358964886144,0.002290910214288144,Text-history AIActive
lead_lag_windows,peer_car_0_p1_mm,spec_ai,-0.0022976829710075,0.0009881309369886,-2.325281888258444,0.0200568921114532,8683,2416,3573,-0.0003319496651045,top5,peer_car_0_p1_mm,current_text_history,event_id+peer_industry_week,ai|spec_ai,"[0,+1]",4,-0.004234419607505156,-0.0003609463345098441,Text-history AIActive
lead_lag_windows,peer_car_post2_p5_mm,spec_ai,0.0008206553172491,0.0016767122479245,0.4894431458140577,0.6245279963775119,8675,2414,3571,-0.0007196146917537,top5,peer_car_post2_p5_mm,current_text_history,event_id+peer_industry_week,ai|spec_ai,"[+2,+5]",5,-0.00246570068868292,0.00410701132318112,Text-history AIActive
lead_lag_windows,peer_car_post2_p10_mm,spec_ai,0.0012666607384521,0.0024661182842327,0.5136252979229015,0.6075139890081602,8643,2406,3563,-0.0036218377516674,top5,peer_car_post2_p10_mm,current_text_history,event_id+peer_industry_week,ai|spec_ai,"[+2,+10]",6,-0.003566931098643992,0.006100252575548192,Text-history AIActive
lead_lag_windows,peer_car_pre20_m11_mm,spec_ai,-0.0019160460251224,0.0022291840877298,-0.8595279482161325,0.3900493074900246,8646,2415,3565,0.004326904501703,top5,peer_car_pre20_m11_mm,ext_any,event_id+peer_industry_week,ai|spec_ai,"[-20,-11]",1,-0.006285246837072808,0.002453154786828008,External AIActive
lead_lag_windows,peer_car_pre10_m2_mm,spec_ai,7.602536702320591e-05,0.0022118220971642,0.0343722793621948,0.9725802882697204,8670,2415,3570,0.0084658931895921,top5,peer_car_pre10_m2_mm,ext_any,event_id+peer_industry_week,ai|spec_ai,"[-10,-2]",2,-0.004259145943418626,0.004411196677465037,External AIActive
lead_lag_windows,peer_car_pre5_m2_mm,spec_ai,0.0002660421764865,0.0016229256129166,0.1639275234607884,0.8697881995976215,8675,2416,3570,0.003860322095986,top5,peer_car_pre5_m2_mm,ext_any,event_id+peer_industry_week,ai|spec_ai,"[-5,-2]",3,-0.0029148920248300357,0.003446976377803036,External AIActive
lead_lag_windows,peer_car_0_p1_mm,spec_ai,-0.0018000279786837,0.000950784458331,-1.893202989290894,0.0583308800385449,8683,2416,3573,-0.0003319496651045,top5,peer_car_0_p1_mm,ext_any,event_id+peer_industry_week,ai|spec_ai,"[0,+1]",4,-0.0036635655170124603,6.35095596450599e-05,External AIActive
lead_lag_windows,peer_car_post2_p5_mm,spec_ai,-0.0020423358529118,0.0014694983951062,-1.3898183623154776,0.1645840407085228,8675,2414,3571,-0.0007196146917537,top5,peer_car_post2_p5_mm,ext_any,event_id+peer_industry_week,ai|spec_ai,"[+2,+5]",5,-0.004922552707319952,0.000837881001496352,External AIActive
lead_lag_windows,peer_car_post2_p10_mm,spec_ai,-0.00050157240668,0.0022406221770287,-0.2238540758108251,0.8228708510712097,8643,2406,3563,-0.0036218377516674,top5,peer_car_post2_p10_mm,ext_any,event_id+peer_industry_week,ai|spec_ai,"[+2,+10]",6,-0.004893191873656252,0.003890047060296252,External AIActive
