focal_code,focal_name,focal_industry,focal_business_excerpt,candidate_id_within_focal,peer_code,peer_name_final,peer_industry_final,candidate_source_system,source_rank,product_similarity,peer_business_excerpt,llm_selected_rank_1_to_5,llm_is_direct_product_market_peer_0_1,llm_reason
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,1,601665,齐鲁银行,货币金融服务,annual_same_industry,1,0.4050193758510886,公司银行业务 个人银行业务 资金业务及其他 人民币业务 吸收公众存款;发放短期 中期和长期贷款;办理国内结算;办理票据贴现;发行金融债券;代理发行 代理兑付 承销政府债券;买卖政府债券;从事同业拆借;提供担保;代理收付款项及代理保险业务;提供保管箱服务;办理地方财政信用周转使用资金委托存贷款业务;证券投资基金销售 外汇业务 外汇存款;外汇贷款;外汇汇款;外币兑换;国际结算;同业外汇拆借;外汇票据的承兑和贴现;外汇借款;外汇担保;结汇 售,,,
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,2,601997,贵阳银行,货币金融服务,annual_same_industry,2,0.3780384596521823,公司金融业务 个人金融业务 资金业务及其他 人民币业务 吸收公众存款;发放短期 中期和长期贷款;办理国内结算;办理票据贴现 承兑;发行金融债券;代理发行 代理兑付 承销政府债券;买卖政府债券;从事同业拆借;提供信用证服务及担保;代理收付款项及代理保险业务;提供保险箱业务;办理地方财政信用周转使用资金的委托贷款业务;基金销售;经监管机构批准的各项代理业务 外汇业务 外汇存款;外汇贷款;外汇汇款;国际结算;外币兑换;同业外汇拆借;结汇 售汇,,,
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,3,601187,厦门银行,货币金融服务,annual_same_industry,3,0.374589140935792,公司银行业务 个人银行业务 资金业务及其他 银行业务 零售银行业务 金融市场业务 两岸金融业务 ,,,
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,4,600928,西安银行,货币金融服务,annual_same_industry,4,0.3699385472451855,公司金融业务 零售金融业务和资金业务等 提供公司及个人银行服务从事资金业务及其他商业银行业务 ,,,
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,5,601128,常熟银行,货币金融服务,annual_same_industry,5,0.3401281215289041,公司金融业务 个人金融业务 资金业务及其他 银行业务;公募证券投资基金销售 依法须经批准的项目经相关部门批准后方可开展经营活动具体经营项目以审批结果为准 ,,,
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,6,600015,华夏银行,货币金融服务,annual_same_industry,6,0.3361177224489795,吸收人民币存款 发放短期 中期和长期贷款 办理结算 办理票据贴现 发行金融债券 代理发行 代理兑付 承销政府债券 买卖政府债券 同业拆借 提供信用证服务及担保 代理收付款项 提供保管箱服务 外汇存款 外汇贷款 外汇汇款等 面向企业客户和机构客户提供存款 贷款 投资银行 贸易金融 科技金融 绿色金融 养老金融 网络金融和现金管理 产业数字金融等专业化 特色化和综合化金融服务 面向个人客户提供存款 贷款 借记卡 信用卡 财富管理 私人银行 ,,,
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,7,002839,张家港行,货币金融服务,annual_same_industry,7,0.3257786203801701,公司业务 个人业务 金融市场业务等业务 吸收公众存款;发放短期 中期和长期贷款;办理国内外结算;办理票据承兑与贴现;代理收付款项及代理保险业务;代理发行 代理兑付 承销政府债券;买卖政府债券 金融债券;从事同业拆借;提供保管箱服务;办理借记卡业务;外汇存款;外汇贷款;外汇汇款;外币兑换;结汇 售汇;资信调查 咨询 见证服务;经原中国银行保险监督管理委员会批准的其他业务 ,,,
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,8,601818,光大银行,货币金融服务,annual_same_industry,8,0.324474990390064,商业银行业务 经国家金融监督管理总局批准的包括对公及对私存款 贷款 支付结算 资金业务及其他金融业务 本集团主要在中国境内经营并在境外设有若干分行和子公司 ,,,
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,9,601166,兴业银行,货币金融服务,annual_same_industry,9,0.2757094561835471,公司业务 同业业务 资金业务 零售业务四大类 电子银行为上述各类业务发展提供了重要渠道 吸收公众存款;发放短期 中期和长期贷款;办理国内外结算;办理票据承兑与贴现;发行金融债券;代理发行 代理兑付 承销政府债券;买卖政府债券 金融债券;代理发行股票以外的有价证券;买卖 代理买卖股票以外的有价证券;资产托管业务;从事同业拆借;买卖 代理买卖外汇;结汇 售汇业务;从事银行卡业务;提供信用证服务及担保;代理收付款项及代理保险业务;提供保管箱服,,,
000001,平安银行,货币金融服务,办理人民币存 贷 结算 汇兑业务 人民币票据承兑和贴现 各项信托业务 经人民银行批准发行或买卖人民币有价证券 外汇存款 汇款 境内境外借款 在境内境外发行或代理发行外币有价证券外汇存款 汇款 境内境外汇借款等 经批准的商业银行业务 ,10,601229,上海银行,货币金融服务,annual_same_industry,10,0.2709056685160438,公司金融业务 零售金融业务和资金业务等 公司和个人金融业务 资金业务 投资银行业务并提供资产管理及其他金融服务 ,,,
