focal_code,short_name,industry_d,product_text,llm_peer_1_code,llm_peer_1_name,llm_peer_2_code,llm_peer_2_name,llm_peer_3_code,llm_peer_3_name,llm_peer_4_code,llm_peer_4_name,llm_peer_5_code,llm_peer_5_name,coder_notes
000001,,货币金融服务,办理人民币存、贷、结算、汇兑业务；人民币票据承兑和贴现；各项信托业务；经人民银行批准发行或买卖人民币有价证券；外汇存款、汇款；境内境外借款；在境内境外发行或代理发行外币有价证券外汇存款、汇款、境内境外汇借款等。。经批准的商业银行业务。,,,,,,,,,,,
000002,,房地产业,房地产、贸易及零售等。。兴办实业(具体项目另行申报);国内商业;物资供销业(不含专营、专控、专卖商品);进出口业务(按深经发审证字第113号外贸企业审定证书规定办理);房地产开发。,,,,,,,,,,,
000004,,软件和信息技术服务业,计算机软件及生物制药。移动应用安全服务业务。,,,,,,,,,,,
000012,,非金属矿物制品业,浮法玻璃产品的加工制造。浮法玻璃、光伏玻璃、特种玻璃、工程玻璃、节能及以玻璃为介质的能源产品的生产和销售、多晶硅和太阳能组件的生产和销售、电子玻璃及显示器件的生产和销售以及光伏电站的建设和运营等。,,,,,,,,,,,
000016,,计算机、通信和其他电子设备制造业,电视机、移动电话等家用电器。。消费电子及半导体业务开展彩电、白电、光电显示、存储与印刷电路板等产品的生产及销售等经营活动。,,,,,,,,,,,
000020,,计算机、通信和其他电子设备制造业,生产销售彩电、印制电路板、注塑件等电子产品和经营超市。。工业业务为注塑件、液晶显示器整机生产和销售;物业经营业务主要为自有物业的对外出租与管理。,,,,,,,,,,,
000021,,计算机、通信和其他电子设备制造业,计算机硬件、通讯设备等。。企业主要产品和业务是:存储半导体业务、高端制造、计量智能终端。,,,,,,,,,,,
000025,,批发业,投资兴办实业金属加工机械通用零件的进出口业务。。物业租赁及服务、珠宝运营。,,,,,,,,,,,
000027,,电力、热力生产和供应业,各种常规能源和新能源的开发、生产、购销；投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等。。各种常规能源和新能源的开发、生产、购销;投资和经营与能源相关的原材料的开发和运输、港口、码头和仓储工业等。,,,,,,,,,,,
000029,,房地产业,房地产及物业管理。。房地产开发及商品房销售、物业租赁及管理、商品零售及贸易、酒店业务、设备安装及维修、建筑、室内装修等业务。,,,,,,,,,,,
000030,,汽车制造业,汽车零部件及相关产品的研究、设计、制造。。汽车零部件及相关产品的研发、设计、制造、销售及售后服务;进出口业务;设备及工艺装备的设计、制造及相关服务;租赁业务、物业服务业务;仓储和配送业务及相关服务。,,,,,,,,,,,
