sample,relation,day,n,mean,se,t,p_ttest,median,positive_rate,p_sign,p_wilcoxon,test_family,outcome
first_valid_events,downstream_customer,day_m1,290,-0.00017703170310058743,0.0010868807150108413,-0.1628805264971709,0.8707263371211377,-0.0018618933849899404,0.43103448275862066,0.0218497998674955,0.10225892389503402,event_day_ar,
first_valid_events,downstream_customer,day_0,287,0.0003355855295571777,0.0010120518853092343,0.33158925389940747,0.7404422833590211,-0.0007861972845426815,0.47735191637630664,0.47879990297876013,0.3051660786302256,event_day_ar,
first_valid_events,downstream_customer,day_p1,290,-0.001063295461634199,0.0012402275542695426,-0.8573390084535322,0.3919679466848094,0.0001870822639314625,0.506896551724138,0.8602022103000713,0.8247539270347326,event_day_ar,
all_valid_events,downstream_customer,day_m1,1836,-0.0004447118845035973,0.0004267521682973868,-1.0420846513278759,0.2975097051059762,-0.0010528393660633227,0.47167755991285404,0.016201872624124248,0.00674925958131758,event_day_ar,
all_valid_events,downstream_customer,day_0,1833,-6.272292841474748e-05,0.00044685734349472013,-0.14036454660051612,0.888387398601236,-0.000923622588075707,0.4724495362793235,0.019481718135398538,0.02696847864057069,event_day_ar,
all_valid_events,downstream_customer,day_p1,1833,-0.0006381059222505672,0.0004377566370936558,-1.4576727528040827,0.14510215734875903,-0.0008055834019735279,0.469721767594108,0.01017175506223003,0.016018247765358255,event_day_ar,
first_valid_events,downstream_customer,,286,-3.0246506383001667e-05,0.001470602417713322,-0.020567425987258168,0.9836051170781246,-0.0005296347156025618,0.48951048951048953,0.7675530279199936,0.7233726199125122,car,car_0_p1_mm
first_valid_events,downstream_customer,,284,0.0001487067780989855,0.0019104277066439171,0.07783952126627254,0.9380107141242071,-0.002692777372602418,0.43661971830985913,0.03762688789816348,0.3337421400328312,car,car_m1_p1_mm
all_valid_events,downstream_customer,,1820,-0.0009045720650708943,0.0006062218544980683,-1.4921469068775985,0.1358340431308619,-0.0014886916507057377,0.46703296703296704,0.005266404441717938,0.003700394455087622,car,car_0_p1_mm
all_valid_events,downstream_customer,,1811,-0.0013011988292622434,0.0007199213281558108,-1.8074180863559972,0.07086308045637854,-0.0027903816503636325,0.44340143567090007,1.5980111939702473e-06,0.0005168857683206432,car,car_m1_p1_mm
