sample,stage,rows,events,affected_firms,upstream_rows,downstream_rows
first_valid_events,input_existing_chain_panel,985,487,653,462,523
first_valid_events,strict_genai_2023plus,961,474,646,454,507
first_valid_events,relation_year_window_tminus5_to_tminus1,961,474,646,454,507
first_valid_events,drop_customer_equals_affected,961,474,646,454,507
all_valid_events,input_existing_chain_panel,6996,3869,617,3012,3984
all_valid_events,strict_genai_2023plus,6831,3779,617,2943,3888
all_valid_events,relation_year_window_tminus5_to_tminus1,6831,3779,617,2943,3888
all_valid_events,drop_customer_equals_affected,6831,3779,617,2943,3888
formal_announcement_only,input_existing_formal_supplier_panel,18,8,13,18,0
formal_announcement_only,strict_genai_2023plus,11,7,6,11,0
formal_announcement_only,relation_year_window_tminus5_to_tminus1,11,7,6,11,0
formal_announcement_only,drop_customer_equals_affected,11,7,6,11,0
first_valid_events,drop_affected_prior_or_same_day_genai_event,696,377,498,314,382
all_valid_events,drop_affected_prior_or_same_day_genai_event,3172,2010,451,1267,1905
formal_announcement_only,drop_affected_prior_or_same_day_genai_event,4,3,3,4,0
first_valid_events,after_returns_attached,696,377,498,314,382
first_valid_events,after_ar0_available,546,325,388,259,287
first_valid_events,after_car0p1_available,543,325,386,257,286
all_valid_events,after_returns_attached,3172,2010,451,1267,1905
all_valid_events,after_ar0_available,3013,1919,430,1180,1833
all_valid_events,after_car0p1_available,2991,1914,429,1171,1820
formal_announcement_only,after_returns_attached,4,3,3,4,0
formal_announcement_only,after_ar0_available,4,3,3,4,0
formal_announcement_only,after_car0p1_available,4,3,3,4,0
