relation,outcome,n,mean,se,t,p,median,positive_rate
upstream_supplier,ar_m1_mm,255,-.00012419697,.0013228516,-.093885794,.9252739,-.0014732089,.45882353
upstream_supplier,ar_0_mm,259,-.0027704239,.0013454186,-2.0591538,.040483195,-.0038615854,.39768341
upstream_supplier,ar_p1_mm,259,-.00093704829,.0014256637,-.65727162,.51159221,-.00053995929,.48648649
upstream_supplier,car_0_p1_mm,257,-.0035141555,.0019871294,-1.7684584,.078175195,-.0017985945,.44357976
upstream_supplier,car_m1_p1_mm,253,-.0032346863,.0024152335,-1.3392851,.18168454,-.0055021872,.41501975
downstream_customer,ar_m1_mm,290,-.00017703164,.0010868807,-.16288048,.87072635,-.0018618933,.43103448
downstream_customer,ar_0_mm,287,.00033558553,.0010120518,.33158925,.74044228,-.00078619731,.4773519
downstream_customer,ar_p1_mm,290,-.0010632954,.0012402276,-.85733902,.39196795,.00018708227,.50689656
downstream_customer,car_0_p1_mm,286,-.00003024645,.0014706025,-.020567387,.98360515,-.00052963471,.48951048
downstream_customer,car_m1_p1_mm,284,.00014870688,.0019104277,.077839568,.93801069,-.0026927772,.43661973
