outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,peer_group,top_n,sample,fe_spec,model
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0026066653660488277,0.0008948392243622077,-2.912998553350984,0.003579762597341718,11273,2645,3973,-3.444335817258166e-05,0.25751796327508203,0.17306839350660871,0.08054643839261953,ai_stripped_top_peers,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0017838219547490009,0.0007289734881983449,-2.4470326886067006,0.014403777484436109,11273,2645,3973,-3.444335817258166e-05,0.25751796327508203,0.17306839350660871,0.08054643839261953,ai_stripped_top_peers,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002440302649353931,0.001194588932213288,-2.042796968520906,0.04107254078787381,11273,2645,3973,3.668479252395786e-05,0.25751796327508203,0.17306839350660871,0.08054643839261953,ai_stripped_top_peers,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0017468074610696583,0.0009512060053379273,-1.8364134070506464,0.06629653819928705,11273,2645,3973,3.668479252395786e-05,0.25751796327508203,0.17306839350660871,0.08054643839261953,ai_stripped_top_peers,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.001981423123915013,0.001006087995869688,-1.9694332225902573,0.048903363820478996,11273,2645,3973,-3.444335817258166e-05,0.25751796327508203,0.17306839350660871,0.08054643839261953,ai_stripped_top_peers,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0014007054601688183,0.0008410676000183833,-1.6653898689453772,0.09583499931802897,11273,2645,3973,-3.444335817258166e-05,0.25751796327508203,0.17306839350660871,0.08054643839261953,ai_stripped_top_peers,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0006633991429115886,0.0013773367038348314,-0.48165357175520573,0.6300520629737043,11273,2645,3973,3.668479252395786e-05,0.25751796327508203,0.17306839350660871,0.08054643839261953,ai_stripped_top_peers,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.001377318603317948,0.001134058222541113,-1.2145043137483325,0.2245552035687537,11273,2645,3973,3.668479252395786e-05,0.25751796327508203,0.17306839350660871,0.08054643839261953,ai_stripped_top_peers,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0028771464479830358,0.0010762286359832418,-2.6733598714872295,0.007509564267956792,8655,2415,3550,-0.00023949304091868944,0.25222414789139225,0.0,0.0,ai_stripped_top_peers,5,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0021243659936704623,0.000832414830789743,-2.55205207198795,0.010709051214339071,8655,2415,3550,-0.00023949304091868944,0.25222414789139225,0.0,0.0,ai_stripped_top_peers,5,drop_either_cleaning_ann,event_fe,M1_specz_x_ai_active
