outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,peer_group,top_n,sample,fe_spec,model
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0025949547720402525,0.0009077177809455687,-2.858768249903721,0.0042528936090455716,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0018249601519794234,0.0007615958809136799,-2.3962316468808034,0.01656461798097575,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.002058804934299003,0.0012109429495889494,-1.7001667460864758,0.08909956533107288,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.001920533075932548,0.0009782477797778593,-1.9632378581719483,0.04961854229041718,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0017735088887937027,0.001014601782349082,-1.7479851895071012,0.08046659202635165,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.001511820485131965,0.000875389360281018,-1.727026342479922,0.08416293263239583,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.00032588166111552043,0.0014044040010744903,-0.2320426749469475,0.8165048684092824,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0014162935305240846,0.00117064843756102,-1.2098367751422043,0.22634153176606686,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.002542368125302655,0.0010552849581354966,-2.409176882227691,0.015988546843790807,9355,2629,3693,-0.0003843819008149161,0.25558524853019776,0.0,0.0718332442544094,true_top5,5,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0019444237781755117,0.0008440946028332501,-2.3035614392616015,0.021247274547292916,9355,2629,3693,-0.0003843819008149161,0.25558524853019776,0.0,0.0718332442544094,true_top5,5,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0020334326062048705,0.0012496617243833291,-1.627186434959676,0.10369750785555731,9355,2629,3693,-0.00020928245553436314,0.25558524853019776,0.0,0.0718332442544094,true_top5,5,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0015673968059826328,0.0009625459581414752,-1.628386460641349,0.10344296667731534,9355,2629,3693,-0.00020928245553436314,0.25558524853019776,0.0,0.0718332442544094,true_top5,5,drop_peer_cleaning_ann_m1_p1,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.0019285830242048642,0.0011852721711064567,-1.6271225050399383,0.10371108218261371,9355,2629,3693,-0.0003843819008149161,0.25558524853019776,0.0,0.0718332442544094,true_top5,5,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0016584626497571455,0.0009656496890538436,-1.7174578613307785,0.08589554741449668,9355,2629,3693,-0.0003843819008149161,0.25558524853019776,0.0,0.0718332442544094,true_top5,5,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0010066586339807274,0.0014350749909705055,-0.7014676168943264,0.4830112371123576,9355,2629,3693,-0.00020928245553436314,0.25558524853019776,0.0,0.0718332442544094,true_top5,5,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,specz_ai_active,-0.0008901418706857282,0.0011044733645032743,-0.8059423606707442,0.42027608461435406,9355,2629,3693,-0.00020928245553436314,0.25558524853019776,0.0,0.0718332442544094,true_top5,5,drop_peer_cleaning_ann_m1_p1,event_fe_peer_industry_week_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,ai_active_peer_tminus5,-0.002543340353025545,0.0009477088994409136,-2.683672543885522,0.007281838935990326,10376,2428,3857,-0.0002120192862142218,0.2587702390131072,0.1631649961449499,0.0,true_top5,5,drop_focal_cleaning_ann_event_or_0,event_fe,M1_specz_x_ai_active
peer_car_0_p1_mm,specz_ai_active,-0.0021608332036464647,0.0007935327981418731,-2.7230546849559913,0.006468135038289358,10376,2428,3857,-0.0002120192862142218,0.2587702390131072,0.1631649961449499,0.0,true_top5,5,drop_focal_cleaning_ann_event_or_0,event_fe,M1_specz_x_ai_active
peer_car_m1_p1_mm,ai_active_peer_tminus5,-0.0018934340024085489,0.0012661172362057073,-1.495464991917163,0.13479312979853764,10376,2428,3857,-1.5793298233240342e-05,0.2587702390131072,0.1631649961449499,0.0,true_top5,5,drop_focal_cleaning_ann_event_or_0,event_fe,M1_specz_x_ai_active
