peer_group,top_n,sample,obs,events,focal_firms,peer_firms,mean_ai_active,mean_peer_cleaning_ann,mean_focal_cleaning_ann,mean_car_0_p1_mm,mean_car_m1_p1_mm
true_top5,5,base_no_announcement_filter,11288,2646,2646,3977,0.2600106307583274,0.171243798724309,0.08079376328844791,-0.00018042890843770923,-9.09575054223345e-05
true_top5,5,drop_peer_cleaning_ann_m1_p1,9355,2629,2629,3693,0.25558524853019776,0.0,0.0718332442544094,-0.0003843819008149161,-0.00020928245553436314
true_top5,5,drop_focal_cleaning_ann_event_or_0,10376,2428,2428,3857,0.2587702390131072,0.1631649961449499,0.0,-0.0002120192862142218,-1.5793298233240342e-05
true_top5,5,drop_either_cleaning_ann,8683,2416,2416,3573,0.25567200276402163,0.0,0.0,-0.00033194966510457754,-0.00011803718176927336
true_top10,10,base_no_announcement_filter,22545,2651,2651,4791,0.2634730538922156,0.1734752716788645,0.08019516522510535,-0.0004985738890044692,-0.000639767525542924
true_top10,10,drop_peer_cleaning_ann_m1_p1,18634,2649,2649,4596,0.25845229151014276,0.0,0.07239454760115917,-0.0006301488440595618,-0.0007698118251545204
true_top10,10,drop_focal_cleaning_ann_event_or_0,20737,2433,2433,4719,0.2637797174133192,0.1664657375705261,0.0,-0.0006499976064110595,-0.0007224004442529886
true_top10,10,drop_either_cleaning_ann,17285,2432,2432,4516,0.2592421174428695,0.0,0.0,-0.0007172451990430438,-0.0008091937795071393
low_similarity_same_industry,10,base_no_announcement_filter,19198,2598,2598,2843,0.25294301489738513,0.16850713616001667,0.08401916866340244,-0.0015732596401669544,-0.0017552487311726414
low_similarity_same_industry,10,drop_peer_cleaning_ann_m1_p1,15963,2596,2596,2711,0.2511432688091211,0.0,0.07580028816638476,-0.0017065851175442196,-0.002030493883365664
low_similarity_same_industry,10,drop_focal_cleaning_ann_event_or_0,17585,2383,2383,2787,0.2525447824850725,0.16104634631788456,0.0,-0.0016169913002445158,-0.001745849490692093
low_similarity_same_industry,10,drop_either_cleaning_ann,14753,2382,2382,2659,0.2505253168847014,0.0,0.0,-0.0017355303273045414,-0.0020137149025382284
random_same_industry_one_draw,10,base_no_announcement_filter,20073,2598,2598,4658,0.28057589797240073,0.17655557216161014,0.08080506152543217,-0.0008641461098959022,-0.0006370469653978088
random_same_industry_one_draw,10,drop_peer_cleaning_ann_m1_p1,16529,2594,2594,4525,0.2779962490168794,0.0,0.07259967330147014,-0.0009035737965172769,-0.0007636200612026703
random_same_industry_one_draw,10,drop_focal_cleaning_ann_event_or_0,18451,2383,2383,4603,0.2792260582082272,0.1692049211424855,0.0,-0.0008800084841040029,-0.000603659722299252
random_same_industry_one_draw,10,drop_either_cleaning_ann,15329,2379,2379,4464,0.2772522669450062,0.0,0.0,-0.0008843629445001935,-0.000712474336129659
