draw,obs,events,peer_firms,mean_ai_active,mean_car_0_p1_mm,mean_car_m1_p1_mm
1,7692,2365,3665,0.27236089443577743,-0.0009866622295804136,-0.0010234163482172286
2,7727,2368,3700,0.26776239161382165,-0.0009702664568277481,-0.0008660474222475437
3,7798,2371,3640,0.27840471915875864,-0.0009121677555489826,-0.0007618767220207772
4,7712,2373,3671,0.27852697095435686,-0.0008469741687344102,-0.0013944147855357713
5,7714,2373,3637,0.2669172932330827,-0.0011088314649313875,-0.001028174114908699
6,7732,2372,3680,0.27405587170201756,-0.0010314892919306635,-0.001222025601774228
7,7762,2371,3664,0.27750579747487764,-0.0008284961099890634,-0.0009527949560845477
8,7753,2375,3658,0.28208435444344127,-0.000469612308523101,8.51694603765e-06
9,7753,2369,3685,0.2708628917838256,-0.0009891315648657452,-0.000530164714758117
10,7653,2371,3698,0.27257284724944464,-0.0008818434266742945,-0.0011865493065505881
11,7701,2380,3640,0.2707440592130892,-0.0006312394407459453,-0.0006130157653020486
12,7680,2374,3725,0.2721354166666667,-0.0010679116075877554,-0.0010540949458419505
13,7746,2367,3705,0.27356054737929253,-0.0007779535830746766,-0.0010058332925944147
14,7663,2374,3692,0.26673626517029886,-0.0008305866240119612,-0.001561203329008705
15,7766,2374,3690,0.27427246973989183,-0.0008269453369455654,-0.0012606301496798345
16,7677,2370,3672,0.2751074638530676,-0.0008372088093805227,-0.0008384002267405341
17,7759,2368,3721,0.27348885165614123,-0.0011384054250326416,-0.0013431580611482587
18,7719,2365,3680,0.27814483741417284,-0.0009211203257054759,-0.0009773192759521539
19,7786,2371,3688,0.2752376059594143,-0.0007463965518619075,-0.000175335247872276
20,7694,2375,3652,0.26995061086560956,-0.0009600731552086969,-0.0009860244642465059
21,7699,2365,3636,0.272502922457462,-0.00020700853542992057,-0.0002576134552476233
22,7701,2370,3643,0.2789248149590962,-0.0010064665551858146,-0.001401349817579517
23,7726,2373,3698,0.28035205798602125,-0.0005428244260391623,-0.0009225149162239022
24,7807,2379,3707,0.27142308184962216,-0.0009595690656860504,-0.0006864572605348774
25,7740,2381,3677,0.27364341085271315,-0.0009036168181930713,-0.0006537403928767778
26,7713,2367,3709,0.2670815506288085,-0.00010725136896497563,-0.0002043313208002989
27,7776,2374,3705,0.2725051440329218,-0.00030966313400023615,-0.0005137784348982887
28,7770,2373,3688,0.2797940797940798,-0.0003938916644181293,-0.0004252095407987352
29,7721,2372,3657,0.2772956870871649,-0.00043701628139668734,-0.00045426141063545296
30,7703,2371,3675,0.2792418538231858,-0.0010313645337021392,-0.001086110548237127
31,7737,2371,3680,0.270259790616518,-0.0007861464817040696,-0.0013110691412872176
32,7734,2361,3699,0.2765709852598914,-0.00035436912262536813,-0.00023389434782430704
33,7801,2372,3678,0.26958082297141395,-0.0005585797173128958,-0.0006619779618654184
34,7746,2372,3713,0.2686547895688097,-0.0013444512122483096,-0.0014922210375198479
35,7717,2375,3625,0.2766619152520409,-0.0010856134571453108,-0.0013915369614179893
36,7728,2375,3671,0.2741977225672878,-0.000802142022895291,-0.0010247605145629506
37,7766,2367,3706,0.2746587689930466,-0.0012317072832290189,-0.0010971479671036204
38,7667,2378,3683,0.2772922916394939,-0.0012341612521562088,-0.0012765984954383343
39,7673,2373,3679,0.26339111169034274,-0.0005003423474540612,-0.0008531060022003083
40,7766,2368,3691,0.2759464331702292,-0.0007357570478749927,-0.0009250567996852272
41,7755,2377,3648,0.27775628626692456,-0.0007756202265401382,-0.0008158112540302638
42,7693,2381,3674,0.2721955024047836,-0.001318843504839549,-0.0013319258314994753
43,7732,2374,3697,0.26939989653388513,-0.0008386189208818601,-0.001041659037691473
44,7658,2377,3688,0.2743536171324106,-0.0007817098663353403,-0.0013406412105209302
45,7717,2372,3701,0.27251522612414153,-0.001120644756516742,-0.0008777357405869605
46,7601,2366,3647,0.26878042362846993,-0.0010173170794219115,-0.0011019791844095997
47,7725,2368,3678,0.2796116504854369,-0.00030300348820800206,-0.0005004606701497664
48,7721,2367,3698,0.26913612226395545,-0.0011255174724097618,-0.0010793810463645196
49,7770,2367,3712,0.27696267696267696,-0.0009058011567282701,-0.0011118267795457858
50,7712,2371,3660,0.2773599585062241,-0.0007508483838730223,-0.0009576775928297714
51,7676,2380,3683,0.272146951537259,-0.0006430405573419019,-0.0007376595751523102
