outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,draw,fe_spec
peer_car_0_p1_mm,specz_ai_active,-0.0006603374335478674,0.0008131280291280592,-0.8120952788406106,0.4167369620067909,7692,2365,3665,-0.0009866622295804136,0.27236089443577743,0.0,0.0,1,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0006603374335478674,0.0008131280291280593,-0.8120952788406105,0.4167369620067909,7692,2365,3665,-0.0009866622295804136,0.27236089443577743,0.0,0.0,1,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.000835240693593786,0.0011154905376902639,-0.7487653775380618,0.4539986310128956,7692,2365,3665,-0.0010234163482172286,0.27236089443577743,0.0,0.0,1,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0008352406935937856,0.0011154905376902639,-0.7487653775380615,0.45399863101289584,7692,2365,3665,-0.0010234163482172286,0.27236089443577743,0.0,0.0,1,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.000853242439062176,0.0008427979981768356,1.0123925791327626,0.31135038511152313,7727,2368,3700,-0.0009702664568277481,0.26776239161382165,0.0,0.0,2,event_fe
peer_car_0_p1_mm,specz_ai_active,0.000853242439062176,0.0008427979981768356,1.0123925791327626,0.31135038511152313,7727,2368,3700,-0.0009702664568277481,0.26776239161382165,0.0,0.0,2,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-2.8260407272809367e-05,0.001041846423324947,-0.02712531006500857,0.9783597876727359,7727,2368,3700,-0.0008660474222475437,0.26776239161382165,0.0,0.0,2,event_fe
peer_car_m1_p1_mm,specz_ai_active,-2.8260407272809475e-05,0.001041846423324947,-0.027125310065008675,0.9783597876727359,7727,2368,3700,-0.0008660474222475437,0.26776239161382165,0.0,0.0,2,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0005294630617579354,0.0008257713000559284,0.6411739687757078,0.5214096603138305,7798,2371,3640,-0.0009121677555489826,0.27840471915875864,0.0,0.0,3,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0005294630617579354,0.0008257713000559284,0.6411739687757078,0.5214096603138305,7798,2371,3640,-0.0009121677555489826,0.27840471915875864,0.0,0.0,3,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.00028590103013242425,0.0009735016649268509,0.29368314450074096,0.7690000353736952,7798,2371,3640,-0.0007618767220207772,0.27840471915875864,0.0,0.0,3,event_fe
