stock_code,cac_first_date,ai_patent_grant_first_date,ai_patent_application_first_date,genai_patent_grant_first_date,genai_patent_application_first_date,ai_patent_title_count_total,genai_patent_title_count_total,broad_ai_hiring_first_date,genai_hiring_first_date,broad_ai_hiring_firm_days,broad_ai_hiring_total,genai_hiring_total,history_genai_disclosure_first_date
000001,,,,,,,,2017-04-12,2019-04-19,64.0,79.0,4.0,2025-02-19
000002,,,,,,,,2017-02-04,2017-02-13,81.0,106.0,17.0,2026-03-31
000004,,,,,,0.0,0.0,2016-07-20,,10.0,12.0,0.0,2022-12-02
000008,,,,,,0.0,0.0,2016-06-07,2026-01-26,59.0,77.0,1.0,
000009,,,,,,,,2017-02-18,2025-03-01,8.0,10.0,3.0,
000012,,,,,,,,2016-06-10,2016-06-10,13.0,6.0,9.0,2025-04-14
000016,,,,,,,,2017-02-28,2017-12-31,42.0,70.0,11.0,2023-04-03
000019,,,,,,0.0,0.0,2016-07-16,2016-07-16,1.0,0.0,1.0,
000020,,,,,,,,,,,,,2025-03-18
000021,,,,,,,,2016-05-31,2025-02-28,39.0,46.0,6.0,2023-02-28
000022,,,,,,,,2026-02-15,,1.0,1.0,0.0,
000025,,,,,,,,,,,,,2025-03-11
000026,,,,,,0.0,0.0,2020-08-26,2025-01-02,5.0,7.0,1.0,
000027,,,,,,,,2021-07-31,,2.0,2.0,0.0,2025-04-08
000028,,,,,,,,2021-05-14,,2.0,2.0,0.0,
000029,,,,,,,,,,,,,2025-03-07
000030,,,,,,,,,,,,,2025-02-28
000031,,,,,,,,2019-12-12,,2.0,2.0,0.0,
000032,,,,,,0.0,0.0,2018-05-03,2023-06-23,86.0,97.0,8.0,2023-03-27
000034,,,,,,0.0,0.0,2016-07-23,2019-12-15,99.0,193.0,36.0,2023-04-03
000035,,,,,,0.0,0.0,2020-07-26,2025-07-13,14.0,15.0,1.0,
000037,,,,,,,,,,,,,2025-03-10
000039,,,,,,0.0,0.0,2016-07-25,2016-07-25,44.0,51.0,8.0,2025-02-01
000042,,,,,,0.0,0.0,2024-08-06,,1.0,2.0,0.0,
000045,,,,,,0.0,0.0,,,,,,2025-05-13
000046,,,,,,,,2017-02-15,2017-03-15,30.0,44.0,2.0,
000048,,,,,,0.0,0.0,2020-03-05,,5.0,5.0,0.0,2025-05-20
000049,,,,,,,,2023-03-24,2025-04-16,4.0,5.0,1.0,2025-03-17
000050,,,,,,,,2016-08-30,2016-08-30,21.0,44.0,32.0,2024-03-17
000055,,,,,,0.0,0.0,2020-02-16,2020-02-16,1.0,1.0,1.0,2023-06-12
000056,,,,,,0.0,0.0,,,,,,2023-03-28
000058,,,,,,,,2019-05-04,,2.0,2.0,0.0,2025-12-03
