outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,peer_cleaning_ann_rate,focal_cleaning_ann_rate,peer_group,top_n,sample,fe_spec,ai_active_def,ai_active_def_desc,interaction_term,model
peer_car_0_p1_mm,current_text_history,-0.0025949547720402525,0.0009077177809455687,-2.858768249903721,0.0042528936090455716,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,current_text_history,Current text-history AIActivePeer from the earlier event library,specz_x_current_text_history,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_current_text_history,-0.0018249601519794234,0.0007615958809136799,-2.3962316468808034,0.01656461798097575,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,current_text_history,Current text-history AIActivePeer from the earlier event library,specz_x_current_text_history,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,current_text_history,-0.002058804934299003,0.0012109429495889494,-1.7001667460864758,0.08909956533107288,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,current_text_history,Current text-history AIActivePeer from the earlier event library,specz_x_current_text_history,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_current_text_history,-0.001920533075932548,0.0009782477797778593,-1.9632378581719483,0.04961854229041718,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,current_text_history,Current text-history AIActivePeer from the earlier event library,specz_x_current_text_history,M1_specz_x_ai_active_external
peer_car_0_p1_mm,current_text_history,-0.0017735088887937027,0.001014601782349082,-1.7479851895071012,0.08046659202635165,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,current_text_history,Current text-history AIActivePeer from the earlier event library,specz_x_current_text_history,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_current_text_history,-0.001511820485131965,0.000875389360281018,-1.727026342479922,0.08416293263239583,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,current_text_history,Current text-history AIActivePeer from the earlier event library,specz_x_current_text_history,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,current_text_history,-0.00032588166111552043,0.0014044040010744903,-0.2320426749469475,0.8165048684092824,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,current_text_history,Current text-history AIActivePeer from the earlier event library,specz_x_current_text_history,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_current_text_history,-0.0014162935305240846,0.00117064843756102,-1.2098367751422043,0.22634153176606686,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,current_text_history,Current text-history AIActivePeer from the earlier event library,specz_x_current_text_history,M1_specz_x_ai_active_external
peer_car_0_p1_mm,prior_cac,0.011428280986918973,0.0090506746994209,1.2626993419231167,0.2066972506348348,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_cac,Prior CAC GenAI filing or registration,specz_x_prior_cac,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_prior_cac,0.011811266586675962,0.016739547974472618,0.7055905335489251,0.48044281293938473,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_cac,Prior CAC GenAI filing or registration,specz_x_prior_cac,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,prior_cac,0.011529553191883753,0.00852554251703949,1.3523541955060723,0.17626203487461822,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_cac,Prior CAC GenAI filing or registration,specz_x_prior_cac,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_prior_cac,0.012300834923632912,0.014997916084685125,0.8201696058423548,0.41211942623191633,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_cac,Prior CAC GenAI filing or registration,specz_x_prior_cac,M1_specz_x_ai_active_external
peer_car_0_p1_mm,prior_cac,0.0016483126683878805,0.008275118520182607,0.1991890103287013,0.8421148956648303,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_cac,Prior CAC GenAI filing or registration,specz_x_prior_cac,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_prior_cac,0.0014222404307614564,0.010772964876941347,0.13201940663573924,0.8949689418263489,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_cac,Prior CAC GenAI filing or registration,specz_x_prior_cac,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,prior_cac,0.0038141065323503698,0.009730552773354164,0.3919722364380776,0.6950787277806216,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_cac,Prior CAC GenAI filing or registration,specz_x_prior_cac,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_prior_cac,0.002894409773787926,0.01254702181902261,0.23068500362370414,0.8175595247088294,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_cac,Prior CAC GenAI filing or registration,specz_x_prior_cac,M1_specz_x_ai_active_external
peer_car_0_p1_mm,prior_ai_patent_grant,-0.001687768093203199,0.0029860810248197025,-0.5652117538589245,0.5719297429271903,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_ai_patent_grant,Prior broad-AI patent grant,specz_x_prior_ai_patent_grant,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_prior_ai_patent_grant,-0.0068573182063422795,0.0025236840181997195,-2.7171857320053783,0.006583964897195482,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_ai_patent_grant,Prior broad-AI patent grant,specz_x_prior_ai_patent_grant,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,prior_ai_patent_grant,-0.001742297220063167,0.0037529491903357656,-0.46424748423180456,0.6424704444118454,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_ai_patent_grant,Prior broad-AI patent grant,specz_x_prior_ai_patent_grant,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_prior_ai_patent_grant,-0.00839306685566308,0.0032617656088990824,-2.573166763658387,0.010077263838547568,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_ai_patent_grant,Prior broad-AI patent grant,specz_x_prior_ai_patent_grant,M1_specz_x_ai_active_external
peer_car_0_p1_mm,prior_ai_patent_grant,-0.002440380766858004,0.003113318461838955,-0.783851956287355,0.43312698321838017,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_ai_patent_grant,Prior broad-AI patent grant,specz_x_prior_ai_patent_grant,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_prior_ai_patent_grant,-0.0058350006855663284,0.002836163102478929,-2.05735723748267,0.03965187533631109,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_ai_patent_grant,Prior broad-AI patent grant,specz_x_prior_ai_patent_grant,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,prior_ai_patent_grant,-0.002959078219379471,0.004015757933100561,-0.7368666808795347,0.46120342795558544,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_ai_patent_grant,Prior broad-AI patent grant,specz_x_prior_ai_patent_grant,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_prior_ai_patent_grant,-0.008512261592777562,0.003735330861781718,-2.278850765235102,0.022675937998317464,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_ai_patent_grant,Prior broad-AI patent grant,specz_x_prior_ai_patent_grant,M1_specz_x_ai_active_external
peer_car_0_p1_mm,prior_broad_ai_hiring_365_ge1,-0.0007645415951384365,0.0009589661963491262,-0.797256043069211,0.4253023436735879,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_broad_ai_hiring_365_ge1,At least one broad-AI job posting in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge1,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_prior_broad_ai_hiring_365_ge1,-0.0007522405684054222,0.0007215046681725274,-1.0425997246985867,0.2971337168229331,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_broad_ai_hiring_365_ge1,At least one broad-AI job posting in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge1,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,prior_broad_ai_hiring_365_ge1,0.0005317350989233918,0.0011829513704800163,0.44949869638988216,0.6530719482704703,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_broad_ai_hiring_365_ge1,At least one broad-AI job posting in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge1,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_prior_broad_ai_hiring_365_ge1,-0.0004804138279921609,0.0009238148347590171,-0.5200325973521305,0.6030408554201867,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_broad_ai_hiring_365_ge1,At least one broad-AI job posting in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge1,M1_specz_x_ai_active_external
peer_car_0_p1_mm,prior_broad_ai_hiring_365_ge1,0.0003509519751204463,0.0010422000357173898,0.3367414729350603,0.7363117964936199,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_broad_ai_hiring_365_ge1,At least one broad-AI job posting in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge1,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_prior_broad_ai_hiring_365_ge1,-0.0007618612223904282,0.0008124040248807862,-0.9377861249545449,0.3483543329718397,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_broad_ai_hiring_365_ge1,At least one broad-AI job posting in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge1,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,prior_broad_ai_hiring_365_ge1,0.0013483726294573647,0.0012862710858052987,1.048280292029721,0.29450948693555246,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_broad_ai_hiring_365_ge1,At least one broad-AI job posting in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge1,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_prior_broad_ai_hiring_365_ge1,-0.00019602564573943063,0.0010386126959428753,-0.18873796411806257,0.8502981952342501,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_broad_ai_hiring_365_ge1,At least one broad-AI job posting in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge1,M1_specz_x_ai_active_external
peer_car_0_p1_mm,prior_broad_ai_hiring_365_ge3,-0.00039644664200606686,0.001474555112694332,-0.268858477104781,0.788038591232582,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_broad_ai_hiring_365_ge3,At least three broad-AI job postings in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge3,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_prior_broad_ai_hiring_365_ge3,-0.0008711594628010892,0.0011027182859281448,-0.790010897541111,0.4295214041082853,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_broad_ai_hiring_365_ge3,At least three broad-AI job postings in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge3,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,prior_broad_ai_hiring_365_ge3,0.0013940907345400717,0.0017620414086709838,0.7911793262517944,0.4288393537778523,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_broad_ai_hiring_365_ge3,At least three broad-AI job postings in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge3,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_prior_broad_ai_hiring_365_ge3,-0.001032200723384562,0.0013204741198799654,-0.7816894764119964,0.4343970877790251,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,prior_broad_ai_hiring_365_ge3,At least three broad-AI job postings in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge3,M1_specz_x_ai_active_external
peer_car_0_p1_mm,prior_broad_ai_hiring_365_ge3,0.0013304643175261145,0.0015953986742292122,0.8339384625406587,0.4043156617399648,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_broad_ai_hiring_365_ge3,At least three broad-AI job postings in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge3,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_prior_broad_ai_hiring_365_ge3,-0.001369953210488639,0.001196732720349137,-1.1447445091072352,0.252315008029421,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_broad_ai_hiring_365_ge3,At least three broad-AI job postings in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge3,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,prior_broad_ai_hiring_365_ge3,0.0034518695883503235,0.001901981646680643,1.814880598019734,0.06954226078400993,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_broad_ai_hiring_365_ge3,At least three broad-AI job postings in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge3,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_prior_broad_ai_hiring_365_ge3,-0.0007902087518999859,0.0014117881057222061,-0.5597219219351273,0.5756691271706718,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,prior_broad_ai_hiring_365_ge3,At least three broad-AI job postings in prior 365 days,specz_x_prior_broad_ai_hiring_365_ge3,M1_specz_x_ai_active_external
peer_car_0_p1_mm,ext_no_hiring,0.0010050370635952856,0.0032735411486576214,0.30701830768414823,0.7588294372407653,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,ext_no_hiring,Prior CAC or broad-AI patent grant,specz_x_ext_no_hiring,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_ext_no_hiring,-0.004365118405155925,0.0030899946487175393,-1.4126621245016098,0.15775509311386404,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,ext_no_hiring,Prior CAC or broad-AI patent grant,specz_x_ext_no_hiring,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,ext_no_hiring,0.001072271465516347,0.003767530406928436,0.28460857636197295,0.7759440399040187,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,ext_no_hiring,Prior CAC or broad-AI patent grant,specz_x_ext_no_hiring,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_ext_no_hiring,-0.005680513450213223,0.0034719301028204325,-1.6361255215358863,0.10181331982042408,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,ext_no_hiring,Prior CAC or broad-AI patent grant,specz_x_ext_no_hiring,M1_specz_x_ai_active_external
peer_car_0_p1_mm,ext_no_hiring,-0.001663125552086032,0.002868439007622957,-0.5798016090515535,0.5620484123914622,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,ext_no_hiring,Prior CAC or broad-AI patent grant,specz_x_ext_no_hiring,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_ext_no_hiring,-0.005057333438468984,0.002694311384145799,-1.8770411869348036,0.06051244910913112,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,ext_no_hiring,Prior CAC or broad-AI patent grant,specz_x_ext_no_hiring,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,ext_no_hiring,-0.0016868790132923308,0.003694289958615813,-0.4566179244696795,0.647945693355624,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,ext_no_hiring,Prior CAC or broad-AI patent grant,specz_x_ext_no_hiring,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,specz_x_ext_no_hiring,-0.007276381925594029,0.0035431449253892754,-2.0536506631307474,0.040009514881602426,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe_peer_industry_week_fe,ext_no_hiring,Prior CAC or broad-AI patent grant,specz_x_ext_no_hiring,M1_specz_x_ai_active_external
peer_car_0_p1_mm,ext_any,-0.0004937139295308236,0.0009723621528302628,-0.5077469624807653,0.6116308091496256,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,ext_any,"Prior CAC, broad-AI patent grant, or >=1 broad-AI hiring in prior 365 days",specz_x_ext_any,M1_specz_x_ai_active_external
peer_car_0_p1_mm,specz_x_ext_any,-0.0008648155258199489,0.0007390583909572471,-1.1701585915286314,0.24193715323639897,11288,2646,3977,-0.00018042890843770923,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,ext_any,"Prior CAC, broad-AI patent grant, or >=1 broad-AI hiring in prior 365 days",specz_x_ext_any,M1_specz_x_ai_active_external
peer_car_m1_p1_mm,ext_any,0.0005536913145306228,0.0011898278226665933,0.4653541495522542,0.6416778629714015,11288,2646,3977,-9.09575054223345e-05,0.2600106307583274,0.171243798724309,0.08079376328844791,true_top5,5,base_no_announcement_filter,event_fe,ext_any,"Prior CAC, broad-AI patent grant, or >=1 broad-AI hiring in prior 365 days",specz_x_ext_any,M1_specz_x_ai_active_external
