component,mean,std
comp_product_service,0.9402925861641458,0.23694983194683342
comp_model_platform,0.8532110091743119,0.35390421608909933
comp_use_case,0.6299032977932061,0.4828423082903964
comp_customer_industry,0.6981403421770395,0.45907608968599806
comp_partner,0.2762211753037441,0.44713862779642777
comp_deployment,0.8470121497644434,0.35998471404702137
comp_commercialization,0.2930820728985867,0.4551870455512532
answer_percent_or_money,0.19414827671708407,0.395553387643596
answer_date_or_time,0.6035209521448054,0.4891781672656549
specificity,3.925014038321716,3.1444337672763716
