outcome,term,coef,se,z,p,nobs,events,peer_firms,mean_y,mean_ai_active,draw,fe_spec
peer_car_0_p1_mm,specz_ai_active,0.0009653875840888107,0.000572313487467704,1.686816063623327,0.09163872567926212,20079,2599,4668,-0.0005420981003540122,0.27710543353752676,1,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0009653875840888108,0.000572313487467704,1.6868160636233271,0.09163872567926212,20079,2599,4668,-0.0005420981003540122,0.27710543353752676,1,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0002916393232369501,0.0006979556757282014,0.41784791409952027,0.6760583165075544,20079,2599,4668,-0.0005171740067512646,0.27710543353752676,1,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0002916393232369501,0.0006979556757282014,0.41784791409952027,0.6760583165075544,20079,2599,4668,-0.0005171740067512646,0.27710543353752676,1,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.00046902556868535307,0.0005493736779209653,0.8537459793492849,0.3932457519691721,20203,2599,4676,-0.0007390475580055926,0.2768895708558135,2,event_fe
peer_car_0_p1_mm,specz_ai_active,0.00046902556868535296,0.0005493736779209653,0.8537459793492846,0.3932457519691721,20203,2599,4676,-0.0007390475580055926,0.2768895708558135,2,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0005786544526560774,0.0006449291463544661,0.8972372483504369,0.36959233313891815,20203,2599,4676,-0.0006886255720648278,0.2768895708558135,2,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0005786544526560774,0.0006449291463544661,0.8972372483504369,0.36959233313891815,20203,2599,4676,-0.0006886255720648278,0.2768895708558135,2,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.00011789226952139673,0.0005605044417248948,0.2103324447502956,0.8334082143697581,20042,2598,4648,-0.0005760993671834737,0.277567109070951,3,event_fe
peer_car_0_p1_mm,specz_ai_active,0.00011789226952139667,0.0005605044417248948,0.21033244475029553,0.8334082143697583,20042,2598,4648,-0.0005760993671834737,0.277567109070951,3,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0006130564190216073,0.0006970132381144171,0.8795477409870542,0.3791043596503836,20042,2598,4648,-0.0005033510781363615,0.277567109070951,3,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0006130564190216076,0.0006970132381144171,0.8795477409870547,0.37910435965038336,20042,2598,4648,-0.0005033510781363615,0.277567109070951,3,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0008626766499323459,0.0005472948265568814,-1.5762558096146857,0.11496686129303746,20165,2598,4642,-0.0010226358352616706,0.2765187205554178,4,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0008626766499323459,0.0005472948265568814,-1.5762558096146857,0.11496686129303746,20165,2598,4642,-0.0010226358352616706,0.2765187205554178,4,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0007551640265198469,0.0006583424834004106,-1.1470686543261532,0.2513532476118554,20165,2598,4642,-0.0009045662463331897,0.2765187205554178,4,event_fe
peer_car_m1_p1_mm,specz_ai_active,-0.000755164026519847,0.0006583424834004106,-1.1470686543261532,0.2513532476118554,20165,2598,4642,-0.0009045662463331897,0.2765187205554178,4,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,0.0008058990730396282,0.0005950906419243622,1.3542459186277378,0.175657933727285,20178,2599,4655,-0.0005622419321913108,0.27946278124690255,5,event_fe
peer_car_0_p1_mm,specz_ai_active,0.0008058990730396282,0.0005950906419243622,1.3542459186277378,0.175657933727285,20178,2599,4655,-0.0005622419321913108,0.27946278124690255,5,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,0.0006187534181718795,0.0006847946440258273,0.9035605397470704,0.36622847318302787,20178,2599,4655,-0.0006686228914819579,0.27946278124690255,5,event_fe
peer_car_m1_p1_mm,specz_ai_active,0.0006187534181718794,0.0006847946440258273,0.9035605397470703,0.36622847318302787,20178,2599,4655,-0.0006686228914819579,0.27946278124690255,5,event_fe_peer_industry_week_fe
peer_car_0_p1_mm,specz_ai_active,-0.0007873624724667988,0.0005201809107836281,-1.5136320002221424,0.13011920028943091,20081,2598,4647,-0.0010137014256023753,0.2745879189283402,6,event_fe
peer_car_0_p1_mm,specz_ai_active,-0.0007873624724667988,0.0005201809107836281,-1.5136320002221424,0.13011920028943091,20081,2598,4647,-0.0010137014256023753,0.2745879189283402,6,event_fe_peer_industry_week_fe
peer_car_m1_p1_mm,specz_ai_active,-0.0008538500133324951,0.0006215148469365986,-1.3738207824657118,0.16949732752628188,20081,2598,4647,-0.001148239145697002,0.2745879189283402,6,event_fe
