term,coef,se,z,p,nobs,events,peer_firms,mean_y,sd_term_after_fe,peer_group,sample,outcome,fe_spec
specz_x_current_text_history,-0.0021515197758274454,0.0011330782715883757,-1.8988271417572895,0.05758720731821443,8683,2416,3573,-0.00033194966510457754,0.2662409133369905,original_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_current_text_history,-0.002914590550299714,0.001506246433922864,-1.935002456874844,0.05298999419221562,8683,2416,3573,-0.00033194966510457754,0.197852145824286,original_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_ext_any,-0.0017134110804920076,0.0012100873121583533,-1.4159400427361797,0.15679305974897684,8683,2416,3573,-0.00033194966510457754,0.2566382988944509,original_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_ext_any,-0.0002974245094913804,0.001538184184057746,-0.1933607903227632,0.8466764207026383,8683,2416,3573,-0.00033194966510457754,0.20017384172328592,original_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_ext_plus_history,-0.0021274279228256474,0.001077052580189799,-1.9752312579305558,0.048241910200766513,8683,2416,3573,-0.00033194966510457754,0.28526275699902476,original_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_ext_plus_history,-0.0014453511076341424,0.0013226133669408111,-1.0927994104408776,0.274481880549585,8683,2416,3573,-0.00033194966510457754,0.21700391123441543,original_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_current_text_history,-0.001800335293202702,0.0006909153567472696,-2.6057248194314604,0.009168008495612279,17285,2432,4516,-0.0007172451990430438,0.369283223795488,original_top10,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_current_text_history,-0.0019220034054007614,0.0007651710664652296,-2.5118610590957307,0.012009636194716844,17285,2432,4516,-0.0007172451990430438,0.31602025874298967,original_top10,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_ext_any,-0.0010667342897337949,0.0006620707762604761,-1.611208843500009,0.1071342109435105,17285,2432,4516,-0.0007172451990430438,0.35875846441614617,original_top10,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_ext_any,-0.0008246999693746881,0.0007107199826041849,-1.160372565230069,0.24589715163701298,17285,2432,4516,-0.0007172451990430438,0.31554798402421125,original_top10,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_ext_plus_history,-0.0018015011530995687,0.0006196845141803207,-2.9071263068151376,0.0036476588102820617,17285,2432,4516,-0.0007172451990430438,0.3979587887504364,original_top10,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_ext_plus_history,-0.0016616109632422251,0.0006793023043803639,-2.4460552430451257,0.014442886880876582,17285,2432,4516,-0.0007172451990430438,0.3441838799128577,original_top10,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_current_text_history,-0.0002609506440853645,0.0006400456755033614,-0.40770628421188987,0.6834893232677164,14753,2382,2659,-0.0017355303273045414,0.3913239922158199,low_similarity_same_industry,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_current_text_history,-0.00026095073087983005,0.0006400460585990546,-0.4077061757883552,0.6834894028778697,14753,2382,2659,-0.0017355303273045414,0.39132399189923694,low_similarity_same_industry,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_ext_any,-0.00016321222654491622,0.000744371070964387,-0.21926191507343626,0.8264460274131362,14753,2382,2659,-0.0017355303273045414,0.35846166377269745,low_similarity_same_industry,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_ext_any,-0.0001632122220158402,0.0007443712846596861,-0.21926184604294358,0.826446081183319,14753,2382,2659,-0.0017355303273045414,0.35846166317024425,low_similarity_same_industry,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_ext_plus_history,-0.00019638527509749002,0.0005812367483950559,-0.3378748429788038,0.7354575062359989,14753,2382,2659,-0.0017355303273045414,0.4228969467756687,low_similarity_same_industry,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_ext_plus_history,-0.00019638534817206376,0.0005812369482246335,-0.3378748525397696,0.735457499030693,14753,2382,2659,-0.0017355303273045414,0.42289694662914173,low_similarity_same_industry,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_current_text_history,-0.00199334024795092,0.001075487071701007,-1.8534302274765813,0.06382071812377732,8655,2415,3550,-0.0002394930409186857,0.2710901563410927,ai_stripped_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_current_text_history,-0.002379248006841209,0.0014232226245893453,-1.671732844696531,0.0945770144153415,8655,2415,3550,-0.0002394930409186857,0.2018285535999278,ai_stripped_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_ext_any,-0.0013717561049077596,0.001141865925276726,-1.2013285225017296,0.22962379056895488,8655,2415,3550,-0.0002394930409186857,0.2604549845418075,ai_stripped_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_ext_any,-0.0010627628186620662,0.0014042148816714593,-0.7568377408143138,0.4491470789646814,8655,2415,3550,-0.0002394930409186857,0.20527005635260315,ai_stripped_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_ext_plus_history,-0.0023902996684363447,0.0009976897247172874,-2.3958347061394036,0.0165825665104935,8655,2415,3550,-0.0002394930409186857,0.29357818899381094,ai_stripped_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_ext_plus_history,-0.0019055403748283425,0.0011755421252076044,-1.6209885923839762,0.10502008524729334,8655,2415,3550,-0.0002394930409186857,0.22621102127766649,ai_stripped_top5,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
specz_x_current_text_history,-0.0019951630219854108,0.0006862375449398698,-2.9073941475473086,0.0036445366655610822,17261,2431,4506,-0.0007270976567538215,0.3685562332353301,ai_stripped_top10,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_fe
specz_x_current_text_history,-0.0022994508075137553,0.0007715233669303138,-2.9804033242216086,0.0028786908679701018,17261,2431,4506,-0.0007270976567538215,0.31449860995981815,ai_stripped_top10,drop_either_cleaning_ann,peer_car_0_p1_mm,event_peer_firm_peer_industry_week_fe
