model,sample_name,top_n,clean,outcome,covariance,term,coef,se,z,p,nobs,events,focal_firms,peer_firms,mean_y,mean_ai_active
M1_specz_x_ai_active,all_events,5,raw,peer_ar0_ma,event_cluster,ai_active_peer_tminus5,0.00032302004541206786,0.00026942139076747577,1.1989398632822381,0.23055132990372806,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M1_specz_x_ai_active,all_events,5,raw,peer_ar0_ma,event_cluster,specz_ai_active,-0.00022502063683845508,0.0002769567071977301,-0.8124758526891503,0.4165186369657048,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M1_specz_x_ai_active,all_events,5,raw,peer_ar0_ma,twoway_event_peer,ai_active_peer_tminus5,0.00032302004541206786,0.0002791251442074495,1.1572588572385836,0.24716661740363222,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M1_specz_x_ai_active,all_events,5,raw,peer_ar0_ma,twoway_event_peer,specz_ai_active,-0.00022502063683845508,0.00028944990081011053,-0.7774078906528168,0.436918158544366,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M2_plus_similarity_control,all_events,5,raw,peer_ar0_ma,event_cluster,ai_active_peer_tminus5,0.00032553945937079424,0.0002697329012885071,1.2068956282889505,0.22747234151255658,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M2_plus_similarity_control,all_events,5,raw,peer_ar0_ma,event_cluster,specz_ai_active,-0.00022467253702166092,0.0002769606617450362,-0.8112073953249341,0.41724657940673926,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M2_plus_similarity_control,all_events,5,raw,peer_ar0_ma,event_cluster,product_similarity,-0.0006654501070771244,0.002337459661595569,-0.28468945069318663,0.7758820734855902,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M2_plus_similarity_control,all_events,5,raw,peer_ar0_ma,twoway_event_peer,ai_active_peer_tminus5,0.00032553945937079424,0.0002790724903294658,1.1665050144730165,0.2434103223684012,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M2_plus_similarity_control,all_events,5,raw,peer_ar0_ma,twoway_event_peer,specz_ai_active,-0.00022467253702166092,0.000289549671468098,-0.7759378067414416,0.4377857084301431,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M2_plus_similarity_control,all_events,5,raw,peer_ar0_ma,twoway_event_peer,product_similarity,-0.0006654501070771244,0.0023560192047497245,-0.282446809319542,0.7776009267612876,95466,20124,2652,4256,0.0011789291894496476,0.5557475960027654
M1_specz_x_ai_active,all_events,5,raw,peer_car_0_p1_ma,event_cluster,ai_active_peer_tminus5,0.0001264038784643642,0.00038361059393190593,0.32951091670529287,0.7417695439271852,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
M1_specz_x_ai_active,all_events,5,raw,peer_car_0_p1_ma,event_cluster,specz_ai_active,-0.0004671704132455387,0.0003991127649047702,-1.170522354395273,0.2417908235169084,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
M1_specz_x_ai_active,all_events,5,raw,peer_car_0_p1_ma,twoway_event_peer,ai_active_peer_tminus5,0.0001264038784643642,0.0004171794314111289,0.30299643018544126,0.7618925821049614,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
M1_specz_x_ai_active,all_events,5,raw,peer_car_0_p1_ma,twoway_event_peer,specz_ai_active,-0.0004671704132455387,0.0004307857545452792,-1.0844611464431215,0.2781603850469787,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
M2_plus_similarity_control,all_events,5,raw,peer_car_0_p1_ma,event_cluster,ai_active_peer_tminus5,0.00013578524222785618,0.0003841327333742885,0.3534852159957707,0.7237247102521089,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
M2_plus_similarity_control,all_events,5,raw,peer_car_0_p1_ma,event_cluster,specz_ai_active,-0.0004658994297893665,0.0003991321992071914,-1.1672809929010912,0.24309691189865923,95391,20117,2652,4256,0.001738934490675222,0.5556603872482729
