ai_def,obs_active,obs_share,active_peer_firms,total_peer_firms,active_events,total_events
prior_cac,24,0.003074951953875721,15,3345,23,2177
prior_ai_patent_grant,138,0.017680973734785395,49,3345,130,2177
prior_genai_patent_grant,21,0.0026905829596412557,9,3345,21,2177
prior_broad_ai_hiring_365_ge1,1554,0.19910313901345292,746,3345,1058,2177
prior_broad_ai_hiring_365_ge3,716,0.091736066623959,367,3345,577,2177
prior_genai_hiring_365_ge1,532,0.06816143497757847,315,3345,456,2177
ext_no_hiring,162,0.020755925688661116,64,3345,153,2177
ext_any,1646,0.21089045483664318,773,3345,1097,2177
ext_strict,835,0.10698270339525945,409,3345,658,2177
ext_genai_strict,560,0.07174887892376682,325,3345,473,2177
ext_plus_history,2588,0.3315823190262652,1293,3345,1448,2177
current_text_history,2061,0.2640614990390775,1102,3345,1201,2177
